Month,Users,User Revenue (€),Training Revenue (€),Total Revenue (€),Image Generation Costs (€),OpenAI API Costs (€),Total Costs (€)
1,21,420,10000,10420,7.11,25.0,32.11
2,71,1420,10000,11420,24.03857142857143,84.52380952380952,108.56238095238095
3,121,2420,10000,12420,40.96714285714286,144.04761904761904,185.01476190476188
4,171,3420,10000,13420,57.895714285714284,203.57142857142858,261.46714285714285
5,221,4420,10000,14420,74.82428571428572,263.0952380952381,337.9195238095238
6,271,5420,10000,15420,91.75285714285714,322.6190476190476,414.3719047619047
7,321,6420,10000,16420,108.68142857142857,382.14285714285717,490.82428571428574
8,371,7420,10000,17420,125.61,441.6666666666667,567.2766666666666
9,421,8420,10000,18420,142.53857142857143,501.1904761904762,643.7290476190476
10,471,9420,10000,19420,159.46714285714285,560.7142857142857,720.1814285714286
11,521,10420,10000,20420,176.3957142857143,620.2380952380952,796.6338095238095
12,571,11420,10000,21420,193.3242857142857,679.7619047619047,873.0861904761904
